"Basic authentication","Basic authentication","Menu/Menu.php"
"About","About","Menu/Menu.php"
"Contact","Contact","Menu/Menu.php"
"FAQ","FAQ","Menu/Menu.php"
"Web requires authentication","Web requires authentication"
"Gender","Gender"
"Male","Male"
"Female","Female"
"First name","First name"
"Last name","Last name"
"Registration","Registration"
"Register","Register"
"Basic user authentication","Basic user authentication"
"User Name","Email"
"Password","Password"
"Log in","Log in"
"Recover password","Recover password"
"Your user name","Your user name"
"Your password","Your password"
"Recover lost password","Recover lost password"
"Your email address","Your email address"
"Reset your password","Reset your password"
"Wrong user or password!","Wrong user or password!"
"Licence Type","Licence Type"
"Licence Start","Licence active from"
"Licence End","Licence active until"
"Licence history","Licence history"
"You do not have any active licence yet","You do not have any active licence yet"
"MF_insert","Insert"
"MF_update","Edit"
"MF_reset","Reset form"
"MF_delete","Delete"
"iter_page","Go to page"
"Page","Page"
"Number of items","Number of items"
"Generated in","Generated in"
"Item has been successfully updated","Item has been successfully updated"
"Deletion has been successfully commited","Deletion has been successfully commited"
"New item has been successfully inserted","New item has been successfully inserted"
"New item","New item"
"Export to XML","Export to XML",
"Export to Excel","Export to Excel",
"Export to HTML","Export to HTML",
"You have successfully registered. We have sent you credentials to your email address.","You have successfully registered. We have sent you credentials to your email address."
"Licence Name","Licence Name"
"Users count","Users count"
"User Type","User Type"
"Standard","Standard"
"Admin - Can manage users","Admin - Can manage users"
"%name% Vám poslal slevový kód","%name% sent you discount code"
Licence,License,/AT/src/Block/Header.php
"Monitoring stats","Monitoring stats",/AT/src/Block/Header.php
Kupóny,Discount codes,/AT/src/Block/Header.php
"Monitoring LIVE","Monitoring LIVE",/AT/src/Block/Header.php
"Monitoring DAY","Monitoring DAY",/AT/src/Block/Header.php
"Monitoring MONTH","Monitoring MONTH",/AT/src/Block/Header.php
"News primary source config","News primary source config",/AT/src/Block/Header.php
"News Config","News Config",/AT/src/Block/Header.php
"HTML2RSS Config","HTML2RSS Config",/AT/src/Block/Header.php
"Missed news","Missed news",/AT/src/Block/Header.php
"Monitoring médií LIVE","Monitoring médií LIVE",/AT/src/Block/Header.php
"Monitoring médií - Denný report","Monitoring médií - Denný report",/AT/src/Block/Header.php
"Monitoring médií - Mesačný report","Monitoring médií - Mesačný report",/AT/src/Block/Header.php
"Nastav avatar","Set your avatar",/AT/src/Block/Header.php
Bonus,Bonus,/AT/src/Block/Header.php
"Fakturační údaje","Invoice details",/AT/src/Block/Header.php
"Uživatelské nastavení","User settings",/AT/src/Block/Header.php
Odhlášení,Logout,/AT/src/Block/Header.php
"Monitoring médií","Media monitoring",/AT/src/Block/Header.php
Ceník,Pricing,/AT/src/Block/Header.php
Statistiky,Stats,/AT/src/Block/Header.php
"Statistiky dat","Data stats",/AT/src/Block/Header.php
"Seznam použitých datových zdrojů","List of data sources",/AT/src/Block/Header.php
"Název nebo IČO společnosti","Name or company identifier",/AT/src/Block/Header.php
Vyhledat,Search,/AT/src/Block/Header.php
"Prehled činností","Companies by activities",/AT/src/Block/Header.php
"Kategorie činností","Companies by activities",/AT/src/Block/Nace.php
"Companies in this category","Companies with this activity",/AT/src/Block/Nace.php
"Firma","Company",/AT/src/Block/Nace.php
"Rating","Rating",/AT/src/Block/Nace.php
"Zaměstnanci","Employees",/AT/src/Block/Nace.php
"Web","Web",/AT/src/Block/Nace.php
"Tel","Phone",/AT/src/Block/Nace.php
"Email","Email",/AT/src/Block/Nace.php
"Vyžaduje se licence","Licence is required",/AT/src/Block/Nace.php
"Vyžaduje se min Fin PERSONAL licence","Minimum Fin PERSONAL license is required to show this information",/AT/src/Block/Nace.php

"Statistiky dat - naše datové sady","Data statistics - our datasets"
"promo_personal_to_premium","Did you know that with <a href=""/Buy/type=premium""> Fin PREMIUM </a> you can have 4 additional user accounts, 9 more daily expression monitors, 9 more monthly expression monitors, and use LIVE media monitoring? You can also download our CSV datasets with <a href=""/Buy/type=premium""> Fin PREMIUM </a> license."
"promo_premium_to_enterprise","Did you know that with <a href=""/Buy/type=enterprise""> Fin ENTERPRISE </a> you can have an unlimited number of user accounts and unlimited media monitoring?"

"Roční","Annual"
"Měsíční","Monthly"
"Seznam použitých datových zdrojů","List of used government data sources"

"Registr spolehlivosti plátců DPH","Register of reliability of VAT payers [ČR]",/AT/src/Classes/PageBuilder.php
"CZ-FIN Rating firem","CZ-FIN company rating",/AT/src/Classes/PageBuilder.php
ARES,ARES,/AT/src/Classes/PageBuilder.php
"Registr ekonomických subjektů","Register of economic subjects [ČR]",/AT/src/Classes/PageBuilder.php
"Datové schránky","Data boxes",/AT/src/Classes/PageBuilder.php
Faktury,Invoices,/AT/src/Classes/PageBuilder.php
Smlouvy,Contracts,/AT/src/Classes/PageBuilder.php
"Registr smlouv","Register of contracts [ČR]",/AT/src/Classes/PageBuilder.php
"Výměry zemědělských oblastí","Areas of agricultural areas",/AT/src/Classes/PageBuilder.php
Objednávky,Orders,/AT/src/Classes/PageBuilder.php
Pokuty,Fees,/AT/src/Classes/PageBuilder.php
Rozhodnutí,Decisions,/AT/src/Classes/PageBuilder.php
Prostory,Places,/AT/src/Classes/PageBuilder.php
Šetrení,Investigations,/AT/src/Classes/PageBuilder.php
"Seznamy podnikatelov","Lists of businesses",/AT/src/Classes/PageBuilder.php
"Státne instituce","Government institutions",/AT/src/Classes/PageBuilder.php
Šport,Sport,/AT/src/Classes/PageBuilder.php
Školy,Schools,/AT/src/Classes/PageBuilder.php
Granty,Grants,/AT/src/Classes/PageBuilder.php
IČO,Company identifier,/AT/src/Classes/PageBuilder.php
Adresa,Address,/AT/src/Classes/PageBuilder.php
"Datum zápisu","Date of registration",/AT/src/Classes/PageBuilder.php
"Datum vzniku","Creation date",/AT/src/Classes/PageBuilder.php
"Datum výmazu","Date of deletion",/AT/src/Classes/PageBuilder.php
"Monitoring médií","Media monitoring",/AT/src/Classes/PageBuilder.php
"v médiích","in medias",/AT/src/Classes/PageBuilder.php
"Jednatel","Director",/AT/src/Classes/PageBuilder.php
"Rating firmy","Company rating",/AT/src/Classes/PageBuilder.php
"percentil v ČR","percentile in the Czech Republic",/AT/src/Classes/PageBuilder.php
"Hlidac Statu","Hlidac Statu",/AT/src/Classes/PageBuilder.php
Katalog-Firem,Katalog-Firem,/AT/src/Classes/PageBuilder.php
K-F,K-F,/AT/src/Classes/PageBuilder.php
Zive-Firmy,Zive-Firmy,/AT/src/Classes/PageBuilder.php
ABC,ABC,/AT/src/Classes/PageBuilder.php
Firmy.cz,Firmy.cz,/AT/src/Classes/PageBuilder.php
MERK,MERK,/AT/src/Classes/PageBuilder.php
Kurzy.cz,Kurzy.cz,/AT/src/Classes/PageBuilder.php
"Kontakty a další zdroje","Contacts and other resources",/AT/src/Classes/PageBuilder.php
"Katalogy firem","Catalogs of companies",/AT/src/Classes/PageBuilder.php
"Webstránka","Website",/AT/src/Classes/PageBuilder.php
"Telefón","Phone",/AT/src/Classes/PageBuilder.php
"Email","Email",/AT/src/Classes/PageBuilder.php
"Vyžaduje se PREMIUM účet","Requires at leas Fin PERSONAL license",/AT/src/Classes/PageBuilder.php
"Činnosti","Activities",/AT/src/Classes/PageBuilder.php
"ZDROJ","SOURCE",/AT/src/Classes/PageBuilder.php

"Spolu","Count" 
"Poslední změna","Last change"
"Počet objednávok","Number of orders"
"Hodnota objednávek","Orders value"
"Počet smlouv","Contracts count"
"Hodnota smluv","Contracts value"
"Hodnota faktur","Invoiced value"
"Počet faktúr","Number of invoices"
"Aktívnych","Current count"
"Aktuálne v likvidaci","In liquidation"
"Hodnota mimo registra","Contracts outside of register"

"Generální ředitel","CEO"

"record-in-unreliable-vat-register","WARNING! The company has an entry in the register of unreliable VAT payers"
"was-record-in-unreliable-vat-register","WARNING! The company had an entry in the register of unreliable VAT payers"

"Media monitoring statistics in last 7 days","Media monitoring statistics in last 7 days"
"We have processed %count% articles in last 7 days. Data sources below are sorted by the number of processed articles.","We have processed <b>%count%</b> articles in last 7 days. Data sources below are sorted by the number of processed articles."
"Language-sk","Slovak media sources"
"Language-en","English media sources"
"Language-cz","Czech media sources"
"Language-ja","Japan media sources"
"Language-ru","Russian media sources"
"Language-de","German media sources"

"Media monitoring statistics","Media monitoring statistics"
"Government data statistics","Government data statistics"
